year,country,artist_name,song_name,language,style,gender,main_singers,key,BPM,energy,danceability,happiness,loudness,acousticness,instrumentalness,liveness,speechiness,final_place
2023,Spain,Blanca Paloma,Eaea,Spanish,Traditional,Female,1,F Minor,116,73,61,26,4 dB,7,0,39,4,17
2023,Italy,Marco Mengoni,Due vite,Italian,Ballad,Male,1,D Major,117,54,64,13,6 dB,40,0,9,3,4
2023,Ukraine,Tvorchi,Heart of Steel,"English, Ukrainian",Pop,Male,1,Ab Minor,78,52,53,34,8 dB,1,0,9,5,6
2023,Germany,Lord of the Lost,Blood & Glitter,English,Rock,Male,1,A Minor,139,80,64,47,4 dB,1,0,5,8,26
2023,United Kingdom,Mae Muller,I Wrote a Song,English,Pop,Female,1,A Minor,125,89,71,86,4 dB,4,0,8,5,25
2022,Albania,Ronela Hajati,Sekret,"Albanian, English",Pop,Female,1,F Minor,100,70,76,45,6 dB,5,0,52,5,
2022,Latvia,Citi Zeni,Eat Your Salad,English,Pop,Male,1,B Minor,115,69,75,59,8 dB,1,0,34,17,
2022,Lithuania,Monika Liu,Sentimentai,Lithuanian,Ballad,Female,1,C Major,93,56,68,50,8 dB,9,0,31,3,14
2022,Switzerland,Marius Bear,Boys Do Cry,English,Ballad,Male,1,F Major,116,18,42,39,11 dB,87,0,11,4,17
2022,Slovenia,LPS,Disko,Slovene,Pop,Male,1,E Minor,120,61,68,60,6 dB,0,0,5,3,
2022,Ukraine,Kalush Orchestra,Stefania,Ukrainian,Traditional,Male,1,D Major,105,82,83,32,5 dB,14,0,12,4,1
2022,Bulgaria,Intelligent Music Project,Intention,English,Rock,Male,1,D Major,80,84,52,72,8 dB,3,2,24,3,
2022,Netherlands,S10,De diepte,Dutch,Ballad,Female,1,D Minor,87,48,32,15,6 dB,39,0,14,3,11
2022,Moldova,Zdob si Zdub and Advahov Brothers,Trenuletul,"Romanian, English",Traditional,Male,1,C Major,142,88,70,96,3 dB,41,0,32,14,7
2022,Portugal,Maro,"Saudade, saudade","English, Portuguese",Ballad,Female,6,Bb Minor,83,34,64,38,11 dB,68,0,11,4,9
2022,Croatia,Mia Dimsic,Guilty Pleasure,"English, Croatian",Ballad,Female,1,F Major,84,59,53,51,7 dB,12,0,14,6,
2022,Denmark,Reddi,The Show,English,Rock,Female,1,C Major,90,80,31,21,5 dB,2,0,37,6,
